FID,OBJECTID,Project,PointYrID,PointID,Fire_ID,Fire_year,Year,TSB,Burned,TreeCov,ShrubCov,LiveBA,SnagBA,lat,long,burnsev,CC_BurnSev,Distance,slope,elevation,aspect,visits,WHRsize2,WHRtype2,WHRdens2,WHRtype15,Src_Year15,WHRsize15,WHRdens15,F2001star_,F2004stray,F2006bould,F2007moonl,F2008cold_,F2008cub_b,F2008rich_,F2012CHIPS,F2014bald_,F2000storr,dropped,prefire,cc_storrie,cc_bald,cc_boulder,cc_chips,cc_cold,cc_cub,cc_moonlit,cc_rich,cc_star,cc_straylo
1202,1203,MIS,PL05C.W.2013,PL05C.W,2008Cold,2008,2013,5,1,16,20,9,5.4,39.847425,-120.831065,509.3,0,0,23,1649,307,1,3,WFR,2,WFR,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,55.38740158,0,0,0,0,0
1203,1204,MIS,PL05C.W.2014,PL05C.W,2008Cold,2008,2014,6,1,16,20,9,5.4,39.847425,-120.831065,509.3,0,0,23,1649,307,2,3,WFR,2,WFR,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,55.38740158,0,0,0,0,0
1204,1205,MIS,PL05C.W.2015,PL05C.W,2008Cold,2008,2015,7,1,16,20,9,5.4,39.847425,-120.831065,509.3,0,0,23,1649,307,1,3,WFR,2,WFR,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,55.38740158,0,0,0,0,0
1205,1206,MIS,PL22A.C.2010,PL22A.C,2008Rich,2008,2010,2,1,30,20,9,2,40.061157,-121.123736,643.69,0,0,14,1879,232,1,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.870640039,0,0
1206,1207,MIS,PL22A.C.2011,PL22A.C,2008Rich,2008,2011,3,1,30,20,9,2,40.061157,-121.123736,643.69,0,0,14,1879,232,2,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.870640039,0,0
1207,1208,MIS,PL22A.C.2012,PL22A.C,2008Rich,2008,2012,4,1,30,20,9,2,40.061157,-121.123736,643.69,0,0,14,1879,232,1,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.870640039,0,0
1208,1209,MIS,PL22A.C.2013,PL22A.C,2008Rich,2008,2013,5,1,30,20,9,2,40.061157,-121.123736,643.69,0,0,14,1879,232,2,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.870640039,0,0
1209,1210,MIS,PL22A.C.2014,PL22A.C,2008Rich,2008,2014,6,1,30,20,9,2,40.061157,-121.123736,643.69,0,0,14,1879,232,1,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.870640039,0,0
1210,1211,MIS,PL22A.C.2015,PL22A.C,2008Rich,2008,2015,7,1,20,28,6,2,40.061157,-121.123736,643.69,0,0,14,1879,232,2,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.870640039,0,0
1211,1212,MIS,PL22A.E.2010,PL22A.E,2008Rich,2008,2010,2,1,40,0,11,7,40.061183,-121.120804,333.43,0,0,2,1892,221,1,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,2.667929888,0,0
1212,1213,MIS,PL22A.E.2011,PL22A.E,2008Rich,2008,2011,3,1,40,0,11,7,40.061183,-121.120804,333.43,0,0,2,1892,221,2,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,2.667929888,0,0
1213,1214,MIS,PL22A.E.2012,PL22A.E,2008Rich,2008,2012,4,1,40,0,11,7,40.061183,-121.120804,333.43,0,0,2,1892,221,1,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,2.667929888,0,0
1214,1215,MIS,PL22A.E.2013,PL22A.E,2008Rich,2008,2013,5,1,40,0,11,7,40.061183,-121.120804,333.43,0,0,2,1892,221,2,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,2.667929888,0,0
1215,1216,MIS,PL22A.E.2014,PL22A.E,2008Rich,2008,2014,6,1,40,0,11,7,40.061183,-121.120804,333.43,0,0,2,1892,221,1,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,2.667929888,0,0
1216,1217,MIS,PL22A.E.2015,PL22A.E,2008Rich,2008,2015,7,1,23,18,6,7,40.061183,-121.120804,333.43,0,0,2,1892,221,2,4,SMC,4,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,2.667929888,0,0
1217,1218,MIS,PL22A.N.2010,PL22A.N,2008Rich,2008,2010,2,1,19,0,7,9.8,40.063407,-121.12377,425.94,0,0,3,1890,291,1,5,SMC,3,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.07833004,0,0
1218,1219,MIS,PL22A.N.2011,PL22A.N,2008Rich,2008,2011,3,1,19,0,7,9.8,40.063407,-121.12377,425.94,0,0,3,1890,291,2,5,SMC,3,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.07833004,0,0
1219,1220,MIS,PL22A.N.2012,PL22A.N,2008Rich,2008,2012,4,1,19,0,7,9.8,40.063407,-121.12377,425.94,0,0,3,1890,291,1,5,SMC,3,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.07833004,0,0
1220,1221,MIS,PL22A.N.2013,PL22A.N,2008Rich,2008,2013,5,1,19,0,7,9.8,40.063407,-121.12377,425.94,0,0,3,1890,291,2,5,SMC,3,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.07833004,0,0
1221,1222,MIS,PL22A.N.2014,PL22A.N,2008Rich,2008,2014,6,1,19,0,7,9.8,40.063407,-121.12377,425.94,0,0,3,1890,291,1,5,SMC,3,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.07833004,0,0
1222,1223,MIS,PL22A.N.2015,PL22A.N,2008Rich,2008,2015,7,1,15,3,5,9.8,40.063407,-121.12377,425.94,0,0,3,1890,291,2,5,SMC,3,WFR,2005,3,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,3.07833004,0,0
1223,1224,MIS,PL22A.S.2010,PL22A.S,2008Rich,2008,2010,2,1,8,40,2,2.1,40.058906,-121.123701,692.71,0,0,36,1860,256,1,3,SMC,2,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,4.947070122,0,0
1224,1225,MIS,PL22A.S.2011,PL22A.S,2008Rich,2008,2011,3,1,8,40,2,2.1,40.058906,-121.123701,692.71,0,0,36,1860,256,2,3,SMC,2,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,4.947070122,0,0
1225,1226,MIS,PL22A.S.2012,PL22A.S,2008Rich,2008,2012,4,1,8,40,2,2.1,40.058906,-121.123701,692.71,0,0,36,1860,256,1,3,SMC,2,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,4.947070122,0,0
1226,1227,MIS,PL22A.S.2013,PL22A.S,2008Rich,2008,2013,5,1,8,40,2,2.1,40.058906,-121.123701,692.71,0,0,36,1860,256,2,3,SMC,2,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,4.947070122,0,0
1227,1228,MIS,PL22A.S.2014,PL22A.S,2008Rich,2008,2014,6,1,8,40,2,2.1,40.058906,-121.123701,692.71,0,0,36,1860,256,1,3,SMC,2,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,4.947070122,0,0
1228,1229,MIS,PL22A.S.2015,PL22A.S,2008Rich,2008,2015,7,1,6,43,1,2.1,40.058906,-121.123701,692.71,0,0,36,1860,256,2,3,SMC,2,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,4.947070122,0,0
1229,1230,MIS,PL22A.W.2010,PL22A.W,2008Rich,2008,2010,2,1,0,40,0,3,40.06113,-121.126667,1004.4,0,0,31,1833,244,1,4,SMC,4,SMC,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,5,0,0
1230,1231,MIS,PL22A.W.2011,PL22A.W,2008Rich,2008,2011,3,1,0,40,0,3,40.06113,-121.126667,1004.4,0,0,31,1833,244,2,4,SMC,4,SMC,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,5,0,0
1231,1232,MIS,PL22A.W.2012,PL22A.W,2008Rich,2008,2012,4,1,0,40,0,3,40.06113,-121.126667,1004.4,0,0,31,1833,244,1,4,SMC,4,SMC,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,5,0,0
1232,1233,MIS,PL22A.W.2013,PL22A.W,2008Rich,2008,2013,5,1,0,40,0,3,40.06113,-121.126667,1004.4,0,0,31,1833,244,2,4,SMC,4,SMC,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,5,0,0
1233,1234,MIS,PL22A.W.2014,PL22A.W,2008Rich,2008,2014,6,1,0,40,0,3,40.06113,-121.126667,1004.4,0,0,31,1833,244,1,4,SMC,4,SMC,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,5,0,0
1234,1235,MIS,PL22A.W.2015,PL22A.W,2008Rich,2008,2015,7,1,0,58,0,3,40.06113,-121.126667,1004.4,0,0,31,1833,244,2,4,SMC,4,SMC,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,5,0,0
1235,1236,MIS,PL22B.C.2013,PL22B.C,2012Chips,2012,2013,1,1,37,14,7,1.5,40.070158,-121.123875,195.43,0,0,30,1801,298,2,0,WFR,0,WFR,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.567649961,0,0,0,0,0,0
1236,1237,MIS,PL22B.C.2014,PL22B.C,2012Chips,2012,2014,2,1,37,14,7,1.5,40.070158,-121.123875,195.43,0,0,30,1801,298,1,0,WFR,0,WFR,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.567649961,0,0,0,0,0,0
1237,1238,MIS,PL22B.C.2015,PL22B.C,2012Chips,2012,2015,3,1,33,14,7,1.5,40.070158,-121.123875,195.43,0,0,30,1801,298,2,0,WFR,0,WFR,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.567649961,0,0,0,0,0,0
1238,1239,MIS,PL22B.E.2013,PL22B.E,2012Chips,2012,2013,1,1,33,50,5,18.5,40.070185,-121.120943,499.8,0,0,23,1855,327,2,4,WFR,3,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,70.20410156,0,0,0,0,0,0
1239,1240,MIS,PL22B.E.2014,PL22B.E,2012Chips,2012,2014,2,1,33,50,5,18.5,40.070185,-121.120943,499.8,0,0,23,1855,327,1,4,WFR,3,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,70.20410156,0,0,0,0,0,0
1240,1241,MIS,PL22B.E.2015,PL22B.E,2012Chips,2012,2015,3,1,26,39,5,18.5,40.070185,-121.120943,499.8,0,0,23,1855,327,2,4,WFR,3,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,70.20410156,0,0,0,0,0,0
1241,1242,MIS,PL22B.N.2013,PL22B.N,2012Chips,2012,2013,1,1,46,12,6,4.7,40.072409,-121.123909,333.58,0,0,32,1760,285,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.09499931,0,0,0,0,0,0
1242,1243,MIS,PL22B.N.2014,PL22B.N,2012Chips,2012,2014,2,1,46,12,6,4.7,40.072409,-121.123909,333.58,0,0,32,1760,285,1,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.09499931,0,0,0,0,0,0
1243,1244,MIS,PL22B.N.2015,PL22B.N,2012Chips,2012,2015,3,1,41,12,6,4.7,40.072409,-121.123909,333.58,0,0,32,1760,285,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.09499931,0,0,0,0,0,0
1244,1245,MIS,PL22B.S.2013,PL22B.S,2012Chips,2012,2013,1,1,37,9,9,1,40.067908,-121.12384,283.6,0,0,28,1840,305,2,0,WFR,0,WFR,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,10.40699959,0,0,0,0,0,0
1245,1246,MIS,PL22B.S.2014,PL22B.S,2012Chips,2012,2014,2,1,37,9,9,1,40.067908,-121.12384,283.6,0,0,28,1840,305,1,0,WFR,0,WFR,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,10.40699959,0,0,0,0,0,0
1246,1247,MIS,PL22B.S.2015,PL22B.S,2012Chips,2012,2015,3,1,32,9,9,1,40.067908,-121.12384,283.6,0,0,28,1840,305,2,0,WFR,0,WFR,2005,3,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,10.40699959,0,0,0,0,0,0
1247,1248,MIS,PL22B.W.2013,PL22B.W,2012Chips,2012,2013,1,1,19,23,5,0.1,40.070132,-121.126806,180.59,0,0,37,1738,310,2,0,WFR,0,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.766582012,0,0,0,0.0133373,0,0
1248,1249,MIS,PL22B.W.2014,PL22B.W,2012Chips,2012,2014,2,1,19,23,5,0.1,40.070132,-121.126806,180.59,0,0,37,1738,310,1,0,WFR,0,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.766582012,0,0,0,0.0133373,0,0
1249,1250,MIS,PL22B.W.2015,PL22B.W,2012Chips,2012,2015,3,1,18,23,5,0.1,40.070132,-121.126806,180.59,0,0,37,1738,310,2,0,WFR,0,SMC,2005,3,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.766582012,0,0,0,0.0133373,0,0
1250,1251,PLAS,SEN1_1.2013,SEN1_1,2012Chips,2012,2013,13,1,63,3,28,1,40.11393,-121.104259,153.46,0,0,3,1394,287,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.641550004,0,0,0,0,0,0
1251,1252,PLAS,SEN1_1.2014,SEN1_1,2012Chips,2012,2014,14,1,47,4,22,2.7,40.11393,-121.104259,153.46,0,0,3,1394,287,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.641550004,0,0,0,0,0,0
1252,1253,PLAS,SEN1_1.2015,SEN1_1,2012Chips,2012,2015,15,1,30,5,15,4.4,40.11393,-121.104259,153.46,0,0,3,1394,287,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.641550004,0,0,0,0,0,0
1253,1254,PLAS,SEN1_10.2013,SEN1_10,2012Chips,2012,2013,13,1,45,0,26,3.2,40.118653,-121.098883,157.95,0,0,24,1452,121,2,0,BAR,0,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.546617985,0,0,0,0,0,0
1254,1255,PLAS,SEN1_10.2014,SEN1_10,2012Chips,2012,2014,14,1,40,1,20,3,40.118653,-121.098883,157.95,0,0,24,1452,121,2,0,BAR,0,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.546617985,0,0,0,0,0,0
1255,1256,PLAS,SEN1_10.2015,SEN1_10,2012Chips,2012,2015,15,1,35,1,14,2.8,40.118653,-121.098883,157.95,0,0,24,1452,121,2,0,BAR,0,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.546617985,0,0,0,0,0,0
1256,1257,PLAS,SEN1_11.2013,SEN1_11,2012Chips,2012,2013,1,1,15,5,14,10,40.118278,-121.101838,403.21,0,0,17,1433,231,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,36.18030167,0,0,0,0,0,0
1257,1258,PLAS,SEN1_11.2014,SEN1_11,2012Chips,2012,2014,2,1,15,5,10,8,40.118278,-121.101838,403.21,0,0,17,1433,231,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,36.18030167,0,0,0,0,0,0
1258,1259,PLAS,SEN1_11.2015,SEN1_11,2012Chips,2012,2015,3,1,15,5,5,6,40.118278,-121.101838,403.21,0,0,17,1433,231,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,36.18030167,0,0,0,0,0,0
1259,1260,PLAS,SEN1_12.2013,SEN1_12,2012Chips,2012,2013,1,1,55,1,26,5.4,40.116107,-121.102967,187.41,0,0,6,1401,262,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2.020770073,0,0,0,0,0,0
1260,1261,PLAS,SEN1_12.2014,SEN1_12,2012Chips,2012,2014,2,1,50,2,19,4.4,40.116107,-121.102967,187.41,0,0,6,1401,262,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2.020770073,0,0,0,0,0,0
1261,1262,PLAS,SEN1_12.2015,SEN1_12,2012Chips,2012,2015,3,1,45,2,12,3.4,40.116107,-121.102967,187.41,0,0,6,1401,262,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2.020770073,0,0,0,0,0,0
1262,1263,PLAS,SEN1_2.2013,SEN1_2,2012Chips,2012,2013,1,1,40,2,24,7.2,40.114251,-121.101317,455.34,0,0,8,1404,187,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,36.32730103,0,0,0,0,0,0
1263,1264,PLAS,SEN1_2.2014,SEN1_2,2012Chips,2012,2014,2,1,32,3,20,7.2,40.114251,-121.101317,455.34,0,0,8,1404,187,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,36.32730103,0,0,0,0,0,0
1264,1265,PLAS,SEN1_2.2015,SEN1_2,2012Chips,2012,2015,3,1,24,3,16,7.2,40.114251,-121.101317,455.34,0,0,8,1404,187,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,36.32730103,0,0,0,0,0,0
1265,1266,PLAS,SEN1_3.2013,SEN1_3,2012Chips,2012,2013,1,1,12,2,8,21.4,40.114527,-121.098376,524.34,0,0,29,1380,131,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,63.10710144,0,0,0,0,0,0
1266,1267,PLAS,SEN1_3.2014,SEN1_3,2012Chips,2012,2014,2,1,12,19,8,16.8,40.114527,-121.098376,524.34,0,0,29,1380,131,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,63.10710144,0,0,0,0,0,0
1267,1268,PLAS,SEN1_3.2015,SEN1_3,2012Chips,2012,2015,3,1,11,35,7,12.2,40.114527,-121.098376,524.34,0,0,29,1380,131,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,63.10710144,0,0,0,0,0,0
1268,1269,PLAS,SEN1_4.2013,SEN1_4,2012Chips,2012,2013,1,1,30,2,19,7.4,40.114767,-121.095435,276.42,0,0,28,1338,121,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,7.098959923,0,0,0,0,0,0
1269,1270,PLAS,SEN1_4.2014,SEN1_4,2012Chips,2012,2014,2,1,28,3,15,7.1,40.114767,-121.095435,276.42,0,0,28,1338,121,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,7.098959923,0,0,0,0,0,0
1270,1271,PLAS,SEN1_4.2015,SEN1_4,2012Chips,2012,2015,3,1,25,3,10,6.8,40.114767,-121.095435,276.42,0,0,28,1338,121,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,7.098959923,0,0,0,0,0,0
1271,1272,PLAS,SEN1_5.2013,SEN1_5,2012Chips,2012,2013,1,1,33,8,15,4.8,40.115051,-121.092435,285.3,0,0,13,1295,118,2,4,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,13.07999992,0,0,0,0,0,0
1272,1273,PLAS,SEN1_5.2014,SEN1_5,2012Chips,2012,2014,2,1,24,10,12,6.5,40.115051,-121.092435,285.3,0,0,13,1295,118,2,4,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,13.07999992,0,0,0,0,0,0
1273,1274,PLAS,SEN1_5.2015,SEN1_5,2012Chips,2012,2015,3,1,15,11,9,8.2,40.115051,-121.092435,285.3,0,0,13,1295,118,2,4,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,13.07999992,0,0,0,0,0,0
1274,1275,PLAS,SEN1_6.2013,SEN1_6,2012Chips,2012,2013,1,1,35,2,18,16,40.115417,-121.089492,353.21,0,0,35,1239,95,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,26.09449959,0,0,0,0,0,0
1275,1276,PLAS,SEN1_6.2014,SEN1_6,2012Chips,2012,2014,2,1,25,6,14,14.5,40.115417,-121.089492,353.21,0,0,35,1239,95,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,26.09449959,0,0,0,0,0,0
1276,1277,PLAS,SEN1_6.2015,SEN1_6,2012Chips,2012,2015,3,1,15,9,10,13,40.115417,-121.089492,353.21,0,0,35,1239,95,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,26.09449959,0,0,0,0,0,0
1277,1278,PLAS,SEN1_7.2013,SEN1_7,2012Chips,2012,2013,1,1,25,21,18,2.8,40.119719,-121.090345,266.25,0,0,58,1229,54,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,5.766880035,0,0,0,0,0,0
1278,1279,PLAS,SEN1_7.2014,SEN1_7,2012Chips,2012,2014,2,1,28,15,14,2.2,40.119719,-121.090345,266.25,0,0,58,1229,54,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,5.766880035,0,0,0,0,0,0
1279,1280,PLAS,SEN1_7.2015,SEN1_7,2012Chips,2012,2015,3,1,30,9,10,1.6,40.119719,-121.090345,266.25,0,0,58,1229,54,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,5.766880035,0,0,0,0,0,0
1280,1281,PLAS,SEN1_8.2013,SEN1_8,2012Chips,2012,2013,13,1,40,6,20,3.8,40.119461,-121.093251,185.25,0,0,19,1303,69,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.503659964,0,0,0,0,0,0
1281,1282,PLAS,SEN1_8.2014,SEN1_8,2012Chips,2012,2014,14,1,38,7,16,3.9,40.119461,-121.093251,185.25,0,0,19,1303,69,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.503659964,0,0,0,0,0,0
1282,1283,PLAS,SEN1_8.2015,SEN1_8,2012Chips,2012,2015,15,1,35,8,13,4,40.119461,-121.093251,185.25,0,0,19,1303,69,2,5,SMC,4,SMC,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.503659964,0,0,0,0,0,0
1283,1284,PLAS,SEN1_9.2013,SEN1_9,2012Chips,2012,2013,1,1,15,3,5,17.4,40.119092,-121.096007,429.03,0,0,38,1375,83,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,63.21469879,0,0,0,0,0,0
1284,1285,PLAS,SEN1_9.2014,SEN1_9,2012Chips,2012,2014,2,1,9,19,4,17,40.119092,-121.096007,429.03,0,0,38,1375,83,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,63.21469879,0,0,0,0,0,0
1285,1286,PLAS,SEN1_9.2015,SEN1_9,2012Chips,2012,2015,3,1,3,35,2,16.2,40.119092,-121.096007,429.03,0,0,38,1375,83,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,63.21469879,0,0,0,0,0,0
1286,1287,PLAS,ST0105.2009,ST0105,2000Storrie,2000,2009,9,1,3,12,0,1,40.084304,-121.287571,372.63,0,0,57,1458,163,2,1,MCP,0,BAR,2009,0,X,0,0,0,0,0,0,0,0,0,0,0, ,7.854810238,0,0,0.124646999,0,0,0,0,0,0
1287,1288,PLAS,ST0105.2010,ST0105,2000Storrie,2000,2010,10,1,5,21,0,1,40.084304,-121.287571,372.63,0,0,57,1458,163,2,1,MCP,0,BAR,2009,0,X,0,0,0,0,0,0,0,0,0,0,0, ,7.854810238,0,0,0.124646999,0,0,0,0,0,0
1288,1289,PLAS,ST0105.2011,ST0105,2000Storrie,2000,2011,11,1,7,20,1,1,40.084304,-121.287571,372.63,0,0,57,1458,163,2,1,MCP,0,BAR,2009,0,X,0,0,0,0,0,0,0,0,0,0,0, ,7.854810238,0,0,0.124646999,0,0,0,0,0,0
1289,1290,PLAS,ST0203.2009,ST0203,2000Storrie,2000,2009,9,1,10,6,2,0,40.060346,-121.234672,405.33,0,0,46,1490,86,2,5,SMC,3,MCP,2005,0,X,0,0,0,0,0,0,0,0,0,0,0, ,22.73800087,0,0,0.164877996,0,0,0,0,0,0
1290,1291,PLAS,ST0203.2010,ST0203,2000Storrie,2000,2010,10,1,16,31,7,0,40.060346,-121.234672,405.33,0,0,46,1490,86,2,5,SMC,3,MCP,2005,0,X,0,0,0,0,0,0,0,0,0,0,0, ,22.73800087,0,0,0.164877996,0,0,0,0,0,0
1291,1292,PLAS,ST0203.2011,ST0203,2000Storrie,2000,2011,11,1,16,25,8,0,40.060346,-121.234672,405.33,0,0,46,1490,86,2,5,SMC,3,MCP,2005,0,X,0,0,0,0,0,0,0,0,0,0,0, ,22.73800087,0,0,0.164877996,0,0,0,0,0,0
1292,1293,PLAS,ST0402.2009,ST0402,2000Storrie,2000,2009,9,1,7,20,3,12,40.064081,-121.365012,161.11,0,0,13,1881,134,1,1,MCP,0,SMC,2009,5,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0
1293,1294,PLAS,ST0402.2012,ST0402,2000Storrie,2000,2012,12,1,26,58,5,9,40.064081,-121.365012,161.11,0,0,13,1881,134,2,1,MCP,0,SMC,2009,5,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0
