FID,OBJECTID,Project,PointYrID,PointID,Fire_ID,Fire_year,Year,TSB,Burned,TreeCov,ShrubCov,LiveBA,SnagBA,lat,long,burnsev,CC_BurnSev,Distance,slope,elevation,aspect,visits,WHRsize2,WHRtype2,WHRdens2,WHRtype15,Src_Year15,WHRsize15,WHRdens15,F2001star_,F2004stray,F2006bould,F2007moonl,F2008cold_,F2008cub_b,F2008rich_,F2012CHIPS,F2014bald_,F2000storr,dropped,prefire,cc_storrie,cc_bald,cc_boulder,cc_chips,cc_cold,cc_cub,cc_moonlit,cc_rich,cc_star,cc_straylo
18,19,PLAS,213_2.2015,213_2,2012Chips,2012,2015,3,1,4,3,0,14,40.137154,-121.070408,714.03,0,0,19,1786,301,2,5,WFR,3,SMC,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,88.66400146,0,0,0,0,0,0
19,20,PLAS,213_3.2013,213_3,2012Chips,2012,2013,1,1,8,20,10,0.8,40.13612,-121.067808,326.97,0,0,14,1809,102,2,0,SMC,0,SMC,2005,3,S,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,15.76080036,0,0,0,0,0,0
20,21,PLAS,213_3.2014,213_3,2012Chips,2012,2014,2,1,8,14,8,1.1,40.13612,-121.067808,326.97,0,0,14,1809,102,2,0,SMC,0,SMC,2005,3,S,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,15.76080036,0,0,0,0,0,0
21,22,PLAS,213_3.2015,213_3,2012Chips,2012,2015,3,1,7,8,6,1.4,40.13612,-121.067808,326.97,0,0,14,1809,102,2,0,SMC,0,SMC,2005,3,S,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,15.76080036,0,0,0,0,0,0
22,23,PLAS,213_4.2013,213_4,2012Chips,2012,2013,1,1,20,27,12,1.4,40.135085,-121.065185,317.24,0,0,10,1773,235,2,5,WFR,3,WFR,2005,3,S,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.3946991,0,0,0,0,0,0
23,24,PLAS,213_5.2013,213_5,2012Chips,2012,2013,1,1,3,3,4,9.6,40.13405,-121.062515,472.03,0,0,12,1805,245,2,4,WFR,3,SMC,2005,3,S,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,66.9693985,0,0,0,0,0,0
24,25,PLAS,213_6.2013,213_6,2012Chips,2012,2013,1,1,26,31,13,0.6,40.13353,-121.059489,321.56,0,0,20,1846,247,2,5,WFR,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.14819908,0,0,0,0,0,0
25,26,PLAS,213_7.2013,213_7,2012Chips,2012,2013,1,1,3,4,10,8.4,40.136694,-121.057416,486.22,0,0,19,1904,201,2,2,WFR,2,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,60.5141983,0,0,0,0,0,0
26,27,PLAS,213_8.2013,213_8,2012Chips,2012,2013,1,1,52,6,29,0,40.137593,-121.059996,158.71,0,0,27,1870,273,2,5,WFR,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.640868008,0,0,0,0,0,0
27,28,PLAS,213_8.2014,213_8,2012Chips,2012,2014,2,1,54,5,26,0.9,40.137593,-121.059996,158.71,0,0,27,1870,273,2,5,WFR,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.640868008,0,0,0,0,0,0
28,29,PLAS,213_8.2015,213_8,2012Chips,2012,2015,3,1,56,3,24,1.8,40.137593,-121.059996,158.71,0,0,27,1870,273,2,5,WFR,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.640868008,0,0,0,0,0,0
29,30,PLAS,213_9.2013,213_9,2012Chips,2012,2013,1,1,28,3,18,0.6,40.138556,-121.062633,252.84,0,0,28,1846,216,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,10.04899979,0,0,0,0,0,0
