"","PointYrID","PointID","FIRE_ID","Fire_year","Year","TSB","TreeCov","ShrubCov","SnagBA","lat","long","burnsev","slope","elevation","aspect","visits","prefire","Burned"
"44","214_12.2015","214_12","2012Chips",2012,2015,3,10,20,10.6,40.077212,-121.231477,43.11320114,48,1279,91,2,"late closed",1
"45","214_2.2013","214_2","2012Chips",2012,2013,1,23,2,2.6,40.074815,-121.235597,62.5237999,35,1432,71,2,"late closed",1
"46","214_2.2014","214_2","2012Chips",2012,2014,2,17,3,4.6,40.074815,-121.235597,62.5237999,35,1432,71,2,"late closed",1
"47","214_2.2015","214_2","2012Chips",2012,2015,3,10,3,6.6,40.074815,-121.235597,62.5237999,35,1432,71,2,"late closed",1
"48","214_3.2013","214_3","2012Chips",2012,2013,1,27,5,2.6,40.072768,-121.235415,13.74870014,32,1473,40,2,"late closed",1
"49","214_3.2014","214_3","2012Chips",2012,2014,2,26,5,2.5,40.072768,-121.235415,13.74870014,32,1473,40,2,"late closed",1
"50","214_3.2015","214_3","2012Chips",2012,2015,3,25,5,2.4,40.072768,-121.235415,13.74870014,32,1473,40,2,"late closed",1
"51","214_5.2009","214_5","2000Storrie",2000,2009,9,12,13,2.4,40.068105,-121.235066,12.48019981,17,1505,151,2,"open",1
"52","214_5.2010","214_5","2000Storrie",2000,2010,10,12,13,2.4,40.068105,-121.235066,12.48019981,17,1505,151,2,"open",1
"53","214_5.2011","214_5","2000Storrie",2000,2011,11,8,10,2.4,40.068105,-121.235066,12.48019981,17,1505,151,2,"open",1
"54","214_6.2009","214_6","2000Storrie",2000,2009,9,12,15,2.4,40.065966,-121.234852,7.09939003,19,1445,201,2,"open",1
"55","214_6.2010","214_6","2000Storrie",2000,2010,10,12,15,2.4,40.065966,-121.234852,7.09939003,19,1445,201,2,"open",1
"56","214_6.2011","214_6","2000Storrie",2000,2011,11,8,14,2.4,40.065966,-121.234852,7.09939003,19,1445,201,2,"open",1
"57","214_9.2013","214_9","2012Chips",2012,2013,1,18,5,2,40.071094,-121.230814,7.572919846,31,1425,18,2,"late closed",1
"58","214_9.2014","214_9","2012Chips",2012,2014,2,13,6,2,40.071094,-121.230814,7.572919846,31,1425,18,2,"late closed",1
